total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
4,32,N,32,33,Y,35,GEO,GEO,Georgia,Georgia,73,770,770,GEO 🇬🇪,1,2,1,4,35
3,44,Y,44,41,Y,43,IRI,IRI,IR Iran,Islamic Republic of Iran,90,980,1000,IRI 🇮🇷🇮,1,0,2,3,43
3,58,N,58,41,Y,45,ARM,ARM,Armenia,Armenia,11,90,90,ARM 🇦🇷🇲,0,2,1,3,45
3,70,N,70,41,Y,47,TJK,TJK,Tajikistan,Tajikistan,183,2020,2030,TJK 🇹🇯🇰,0,0,3,3,47
3,22,N,22,41,Y,41,AZE,AZE,Azerbaijan,Azerbaijan,15,140,140,AZE 🇦🇿🇪,2,1,0,3,41
3,44,Y,45,41,Y,44,UZB,UZB,Uzbekistan,Uzbekistan,143,2220,2230,UZB 🇺🇿🇧,1,0,2,3,44
3,62,N,62,41,Y,46,LTU,LTU,Lithuania,Lithuania,112,1210,1200,LTU 🇱🇹🇺,0,1,2,3,46
3,33,N,33,41,Y,42,DEN,DEN,Denmark,Denmark,54,560,580,DEN 🇩🇰,1,2,0,3,42
2,46,Y,46,48,Y,54,AUT,AUT,Austria,Austria,14,130,130,AUT 🇦🇹,1,0,1,2,54
2,38,Y,39,48,Y,50,CHI,CHI,Chile,Chile,40,420,420,CHI 🇨🇭🇮,1,1,0,2,50
2,38,Y,42,48,Y,53,UGA,UGA,Uganda,Uganda,142,2150,2140,UGA 🇺🇬🇦,1,1,0,2,53
2,46,Y,50,48,Y,58,NOR,NOR,Norway,Norway,139,1530,1510,NOR 🇳🇴,1,0,1,2,58
2,46,Y,47,48,Y,55,CZE,CZE,Czechia,Czechia,187,540,530,CZE 🇨🇿,1,0,1,2,55
2,71,Y,72,48,Y,63,MAS,MAS,Malaysia,Malaysia,116,1260,1250,MAS 🇲🇦🇸,0,0,2,2,63
2,71,Y,73,48,Y,64,MDA,MDA,Republic of Moldova,Republic of Moldova,127,1680,1700,MDA 🇲🇩🇦,0,0,2,2,64
2,46,Y,49,48,Y,57,INA,INA,Indonesia,Indonesia,89,950,970,INA 🇮🇳🇦,1,0,1,2,57
2,71,Y,71,48,Y,62,DOM,DOM,Dominican Republic,Dominican Republic,56,590,610,DOM 🇩🇴🇲,0,0,2,2,62
2,38,Y,41,48,Y,52,LCA,LCA,Saint Lucia,Saint Lucia,161,1760,1780,LCA 🇱🇨🇦,1,1,0,2,52
2,63,Y,63,48,Y,60,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS 🇰🇴🇸,0,1,1,2,60
2,38,Y,40,48,Y,51,ECU,ECU,Ecuador,Ecuador,61,620,620,ECU 🇪🇨🇺,1,1,0,2,51
2,63,Y,64,48,Y,61,TUN,TUN,Tunisia,Tunisia,193,2100,2100,TUN 🇹🇺🇳,0,1,1,2,61
2,59,N,59,48,Y,59,ETH,ETH,Ethiopia,Ethiopia,67,700,690,ETH 🇪🇹🇭,0,2,0,2,59
2,26,N,26,48,Y,48,SRB,SRB,Serbia,Serbia,169,1820,1840,SRB 🇷🇸,2,0,0,2,48
2,38,Y,38,48,Y,49,ARG,ARG,Argentina,Argentina,10,80,80,ARG 🇦🇷,1,1,0,2,49
2,46,Y,48,48,Y,56,GUA,GUA,Guatemala,Guatemala,79,850,850,GUA 🇬🇺🇦,1,0,1,2,56
1,74,Y,79,65,Y,79,SVK,SVK,Slovakia,Slovakia,173,1870,1890,SVK 🇸🇻🇰,0,0,1,1,79
1,51,Y,51,65,Y,65,ALG,ALG,Algeria,Algeria,4,30,30,ALG 🇦🇱🇬,1,0,0,1,65
1,51,Y,55,65,Y,69,SLO,SLO,Slovenia,Slovenia,174,1880,1900,SLO 🇸🇱🇴,1,0,0,1,69
1,74,Y,78,65,Y,78,POR,POR,Portugal,Portugal,155,1650,1640,POR 🇵🇹,0,0,1,1,78
1,74,Y,77,65,Y,77,PER,PER,Peru,Peru,151,1620,1610,PER 🇵🇪🇷,0,0,1,1,77
1,65,Y,68,65,Y,73,MGL,MGL,Mongolia,Mongolia,129,1370,1350,MGL 🇲🇬🇱,0,1,0,1,73
1,51,Y,54,65,Y,68,MAR,MAR,Morocco,Morocco,121,1390,1370,MAR 🇲🇦🇷,1,0,0,1,68
1,74,Y,76,65,Y,76,GRN,GRN,Grenada,Grenada,77,830,830,GRN 🇬🇷🇳,0,0,1,1,76
1,65,Y,67,65,Y,72,FIJ,FIJ,Fiji,Fiji,68,710,720,FIJ 🇫🇮🇯,0,1,0,1,72
1,74,Y,75,65,Y,75,EGY,EGY,Egypt,Egypt,58,630,630,EGY 🇪🇬,0,0,1,1,75
1,51,Y,53,65,Y,67,DMA,DMA,Dominica,Dominica,57,580,600,DMA 🇩🇲🇦,1,0,0,1,67
1,65,Y,66,65,Y,71,CYP,CYP,Cyprus,Cyprus,42,530,520,CYP 🇨🇾🇵,0,1,0,1,71
1,74,Y,74,65,Y,74,CPV,CPV,Cabo Verde,Cabo Verde,38,350,350,CPV 🇨🇵🇻,0,0,1,1,74
1,65,Y,65,65,Y,70,COL,COL,Colombia,Colombia,43,450,430,COL 🇨🇴,0,1,0,1,70
1,51,Y,52,65,Y,66,BRN,BRN,Bahrain,Bahrain,17,160,160,BRN 🇧🇷🇳,1,0,0,1,66
1,74,Y,80,65,Y,80,ZAM,ZAM,Zambia,Zambia,205,2340,2340,ZAM 🇿🇦🇲,0,0,1,1,80
