total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
95,2,N,2,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA 🇺🇸,27,35,33,95,1
70,1,N,1,2,N,2,CHN,CHN,China,People's Republic of China,41,430,1600,CHN 🇨🇳,28,25,17,70,2
52,4,N,4,3,N,3,FRA,FRA,France,France,70,730,740,FRA 🇫🇷,13,18,21,52,3
50,5,N,5,4,N,4,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR 🇬🇧,13,17,20,50,4
43,3,N,3,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS 🇦🇺,18,14,11,43,5
32,7,N,7,6,N,6,JPN,JPN,Japan,Japan,97,1040,1040,JPN 🇯🇵,12,7,13,32,6
30,8,N,8,7,N,7,ITA,ITA,Italy,Italy,95,1020,1020,ITA 🇮🇹,10,11,9,30,7
27,6,N,6,8,N,8,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR 🇰🇷,12,8,7,27,8
22,9,N,9,9,N,9,NED,NED,Netherlands,Netherlands,150,1450,1430,NED 🇳🇱,10,5,7,22,9
20,10,N,10,10,Y,10,GER,GER,Germany,Germany,5,790,790,GER 🇩🇪,9,6,5,20,10
20,11,N,11,10,Y,11,CAN,CAN,Canada,Canada,37,380,380,CAN 🇨🇦,6,5,9,20,11
14,18,N,18,12,N,12,BRA,BRA,Brazil,Brazil,29,300,300,BRA 🇧🇷,2,5,7,14,12
13,19,N,19,13,N,13,ESP,ESP,Spain,Spain,63,1930,1950,ESP 🇪🇸,2,3,8,13,13
12,12,N,12,14,N,14,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL 🇳🇿,4,6,2,12,14
9,15,Y,15,15,Y,15,HUN,HUN,Hungary,Hungary,87,920,920,HUN 🇭🇺,3,3,3,9,15
9,15,Y,16,15,Y,16,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE 🇸🇪,3,3,3,9,16
8,14,N,14,17,Y,17,ROU,ROU,Romania,Romania,158,1710,1730,ROU 🇷🇴,3,4,1,8,17
8,17,N,17,17,Y,18,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR 🇺🇦,3,2,3,8,18
7,13,N,13,19,Y,19,IRL,IRL,Ireland,Ireland,92,1000,990,IRL 🇮🇪,4,0,3,7,19
7,34,N,34,19,Y,22,GRE,GRE,Greece,Greece,76,820,820,GRE 🇬🇷,1,1,5,7,22
7,30,N,30,19,Y,21,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI 🇨🇭,1,2,4,7,21
7,28,N,28,19,Y,20,KAZ,KAZ,Kazakhstan,Kazakhstan,99,1060,1060,KAZ 🇰🇦🇿,1,3,3,7,20
6,43,N,43,23,Y,26,TPE,TPE,Chinese Taipei,Chinese Taipei,184,2080,2080,TPE 🇹🇵🇪,1,0,5,6,26
6,27,N,27,23,Y,24,ISR,ISR,Israel,Israel,94,1010,1010,ISR 🇮🇱,1,4,1,6,24
6,20,N,20,23,Y,23,CRO,CRO,Croatia,Croatia,52,510,500,CRO 🇭🇷,2,1,3,6,23
6,35,N,35,23,Y,25,POL,POL,Poland,Poland,153,1640,1630,POL 🇵🇱,1,1,4,6,25
5,36,N,36,27,Y,31,KEN,KEN,Kenya,Kenya,100,1070,1070,KEN 🇰🇪🇳,1,1,3,5,31
5,23,N,23,27,Y,28,BEL,BEL,Belgium,Belgium,21,200,200,BEL 🇧🇪,2,0,3,5,28
5,31,N,31,27,Y,30,THA,THA,Thailand,Thailand,188,2040,2040,THA 🇹🇭,1,2,2,5,30
5,56,N,56,27,Y,32,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK 🇵🇷🇰,0,2,3,5,32
5,29,N,29,27,Y,29,JAM,JAM,Jamaica,Jamaica,96,1030,1030,JAM 🇯🇦🇲,1,3,1,5,29
5,21,N,21,27,Y,27,CUB,CUB,Cuba,Cuba,53,520,510,CUB 🇨🇺🇧,2,1,2,5,27
4,24,Y,25,33,Y,34,PHI,PHI,Philippines,Philippines,152,1630,1620,PHI 🇵🇭,2,0,2,4,34
4,60,Y,60,33,Y,38,KGZ,KGZ,Kyrgyzstan,Kyrgyzstan,101,1130,1120,KGZ 🇰🇬🇿,0,1,3,4,38
4,57,N,57,33,Y,37,MEX,MEX,Mexico,Mexico,125,1330,1320,MEX 🇲🇽,0,2,2,4,37
4,69,N,69,33,Y,40,IND,IND,India,India,88,940,960,IND 🇮🇳🇩,0,0,4,4,40
4,37,N,37,33,Y,36,RSA,RSA,South Africa,South Africa,2,1910,1930,RSA 🇷🇸🇦,1,1,2,4,36
4,60,Y,61,33,Y,39,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR 🇹🇷,0,1,3,4,39
4,24,Y,24,33,Y,33,HKG,HKG,"Hong Kong, China","Hong Kong, China",86,910,910,HKG 🇭🇰,2,0,2,4,33
