total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
72,2,N,2,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA 🇺🇸,19,27,26,72,1
52,1,N,1,2,N,2,CHN,CHN,China,People's Republic of China,41,430,1600,CHN 🇨🇳,21,17,14,52,2
44,3,N,3,3,N,3,FRA,FRA,France,France,70,730,740,FRA 🇫🇷,12,14,18,44,3
38,6,N,6,4,N,4,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR 🇬🇧,10,12,16,38,4
31,4,N,4,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS 🇦🇺,12,11,8,31,5
26,5,N,5,6,Y,6,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR 🇰🇷,11,8,7,26,6
26,7,N,7,6,Y,7,JPN,JPN,Japan,Japan,97,1040,1040,JPN 🇯🇵,10,5,11,26,7
24,8,N,8,8,N,8,ITA,ITA,Italy,Italy,95,1020,1020,ITA 🇮🇹,8,10,6,24,8
17,11,N,11,9,N,9,CAN,CAN,Canada,Canada,37,380,380,CAN 🇨🇦,5,4,8,17,9
15,9,N,9,10,N,10,NED,NED,Netherlands,Netherlands,150,1450,1430,NED 🇳🇱,6,5,4,15,10
13,10,N,10,11,N,11,GER,GER,Germany,Germany,5,790,790,GER 🇩🇪,6,5,2,13,11
10,24,N,24,12,N,12,BRA,BRA,Brazil,Brazil,29,300,300,BRA 🇧🇷,1,4,5,10,12
8,12,N,12,13,Y,13,HUN,HUN,Hungary,Hungary,87,920,920,HUN 🇭🇺,3,3,2,8,13
8,26,N,26,13,Y,14,ESP,ESP,Spain,Spain,63,1930,1950,ESP 🇪🇸,1,2,5,8,14
7,15,N,15,15,Y,16,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL 🇳🇿,2,4,1,7,16
7,16,N,16,15,Y,17,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE 🇸🇪,2,3,2,7,17
7,17,N,17,15,Y,18,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR 🇺🇰🇷,2,2,3,7,18
7,13,N,13,15,Y,15,ROU,ROU,Romania,Romania,158,1710,1730,ROU 🇷🇴,3,3,1,7,15
6,14,N,14,19,Y,19,IRL,IRL,Ireland,Ireland,92,1000,990,IRL 🇮🇪,3,0,3,6,19
6,25,N,25,19,Y,20,ISR,ISR,Israel,Israel,94,1010,1010,ISR 🇮🇱,1,4,1,6,20
6,28,N,28,19,Y,21,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI 🇨🇭,1,1,4,6,21
5,47,N,47,22,Y,23,GRE,GRE,Greece,Greece,76,820,820,GRE 🇬🇷,0,1,4,5,23
5,19,N,19,22,Y,22,BEL,BEL,Belgium,Belgium,21,200,200,BEL 🇧🇪,2,0,3,5,22
4,29,Y,30,24,Y,28,RSA,RSA,South Africa,South Africa,2,1910,1930,RSA 🇷🇸🇦,1,1,2,4,28
4,29,Y,29,24,Y,27,KAZ,KAZ,Kazakhstan,Kazakhstan,99,1060,1060,KAZ 🇰🇦🇿,1,1,2,4,27
4,18,N,18,24,Y,24,CRO,CRO,Croatia,Croatia,52,510,500,CRO 🇨🇷🇴,2,1,1,4,24
4,27,N,27,24,Y,26,GEO,GEO,Georgia,Georgia,73,770,770,GEO 🇬🇪,1,2,1,4,26
4,20,N,20,24,Y,25,HKG,HKG,"Hong Kong, China","Hong Kong, China",86,910,910,HKG 🇭🇰,2,0,2,4,25
4,31,N,31,24,Y,29,TPE,TPE,Chinese Taipei,Chinese Taipei,184,2080,2080,TPE 🇹🇵🇪,1,0,3,4,29
4,48,N,48,24,Y,30,POL,POL,Poland,Poland,153,1640,1630,POL 🇵🇱,0,1,3,4,30
3,44,Y,45,31,Y,33,MEX,MEX,Mexico,Mexico,125,1330,1320,MEX 🇲🇽,0,2,1,3,33
3,44,Y,46,31,Y,34,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK 🇵🇷🇰,0,2,1,3,34
3,58,Y,59,31,Y,36,TJK,TJK,Tajikistan,Tajikistan,183,2020,2030,TJK 🇹🇯🇰,0,0,3,3,36
3,44,Y,44,31,Y,32,JAM,JAM,Jamaica,Jamaica,96,1030,1030,JAM 🇯🇦🇲,0,2,1,3,32
3,32,N,32,31,Y,31,UZB,UZB,Uzbekistan,Uzbekistan,143,2220,2230,UZB 🇺🇿🇧,1,0,2,3,31
3,58,Y,58,31,Y,35,IND,IND,India,India,88,940,960,IND 🇮🇳🇩,0,0,3,3,35
2,33,Y,34,37,Y,41,GUA,GUA,Guatemala,Guatemala,79,850,850,GUA 🇬🇺🇦,1,0,1,2,41
2,21,Y,22,37,Y,38,PHI,PHI,Philippines,Philippines,152,1630,1620,PHI 🇵🇭🇮,2,0,0,2,38
2,49,Y,50,37,Y,43,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR 🇹🇷,0,1,1,2,43
2,49,Y,49,37,Y,42,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS 🇰🇴🇸,0,1,1,2,42
2,60,Y,60,37,Y,44,DOM,DOM,Dominican Republic,Dominican Republic,56,590,610,DOM 🇩🇴🇲,0,0,2,2,44
2,21,Y,21,37,Y,37,AZE,AZE,Azerbaijan,Azerbaijan,15,140,140,AZE 🇦🇿🇪,2,0,0,2,37
2,33,Y,33,37,Y,40,CZE,CZE,Czechia,Czechia,187,540,530,CZE 🇨🇿,1,0,1,2,40
2,60,Y,61,37,Y,45,MDA,MDA,Republic of Moldova,Republic of Moldova,127,1680,1700,MDA 🇲🇩🇦,0,0,2,2,45
2,21,Y,23,37,Y,39,SRB,SRB,Serbia,Serbia,169,1820,1840,SRB 🇷🇸,2,0,0,2,39
1,35,Y,36,46,Y,47,ARG,ARG,Argentina,Argentina,10,80,80,ARG 🇦🇷,1,0,0,1,47
1,62,Y,63,46,Y,63,CPV,CPV,Cabo Verde,Cabo Verde,38,350,350,CPV 🇨🇵🇻,0,0,1,1,63
1,35,Y,42,46,Y,53,SLO,SLO,Slovenia,Slovenia,174,1880,1900,SLO 🇸🇱🇴,1,0,0,1,53
1,35,Y,37,46,Y,48,CHI,CHI,Chile,Chile,40,420,420,CHI 🇨🇭🇮,1,0,0,1,48
1,62,Y,71,46,Y,71,SVK,SVK,Slovakia,Slovakia,173,1870,1890,SVK 🇸🇻🇰,0,0,1,1,71
1,51,Y,52,46,Y,56,COL,COL,Colombia,Colombia,43,450,430,COL 🇨🇴,0,1,0,1,56
