total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
1,51,Y,57,46,Y,61,TUN,TUN,Tunisia,Tunisia,193,2100,2100,TUN 🇹🇺🇳,0,1,0,1,61
1,35,Y,43,46,Y,54,UGA,UGA,Uganda,Uganda,142,2150,2140,UGA 🇺🇬🇦,1,0,0,1,54
1,62,Y,62,46,Y,62,AUT,AUT,Austria,Austria,14,130,130,AUT 🇦🇹,0,0,1,1,62
1,51,Y,51,46,Y,55,ARM,ARM,Armenia,Armenia,11,90,90,ARM 🇦🇷🇲,0,1,0,1,55
1,62,Y,64,46,Y,64,CUB,CUB,Cuba,Cuba,53,520,510,CUB 🇨🇺🇧,0,0,1,1,64
1,35,Y,38,46,Y,49,DMA,DMA,Dominica,Dominica,57,580,600,DMA 🇩🇲🇦,1,0,0,1,49
1,51,Y,53,46,Y,57,DEN,DEN,Denmark,Denmark,54,560,580,DEN 🇩🇰,0,1,0,1,57
1,62,Y,70,46,Y,70,POR,POR,Portugal,Portugal,155,1650,1640,POR 🇵🇹,0,0,1,1,70
1,35,Y,41,46,Y,52,NOR,NOR,Norway,Norway,139,1530,1510,NOR 🇳🇴,1,0,0,1,52
1,35,Y,39,46,Y,50,ECU,ECU,Ecuador,Ecuador,61,620,620,ECU 🇪🇨🇺,1,0,0,1,50
1,51,Y,56,46,Y,60,MGL,MGL,Mongolia,Mongolia,129,1370,1350,MGL 🇲🇬🇱,0,1,0,1,60
1,62,Y,65,46,Y,65,EGY,EGY,Egypt,Egypt,58,630,630,EGY 🇪🇬,0,0,1,1,65
1,62,Y,69,46,Y,69,MAS,MAS,Malaysia,Malaysia,116,1260,1250,MAS 🇲🇦🇸,0,0,1,1,69
1,62,Y,68,46,Y,68,LTU,LTU,Lithuania,Lithuania,112,1210,1200,LTU 🇱🇹🇺,0,0,1,1,68
1,35,Y,40,46,Y,51,LCA,LCA,Saint Lucia,Saint Lucia,161,1760,1780,LCA 🇱🇨🇦,1,0,0,1,51
1,51,Y,54,46,Y,58,ETH,ETH,Ethiopia,Ethiopia,67,700,690,ETH 🇪🇹🇭,0,1,0,1,58
1,51,Y,55,46,Y,59,FIJ,FIJ,Fiji,Fiji,68,710,720,FIJ 🇫🇮🇯,0,1,0,1,59
1,62,Y,66,46,Y,66,GRN,GRN,Grenada,Grenada,77,830,830,GRN 🇬🇷🇳,0,0,1,1,66
1,62,Y,67,46,Y,67,INA,INA,Indonesia,Indonesia,89,950,970,INA 🇮🇳🇦,0,0,1,1,67
1,35,Y,35,46,Y,46,ALG,ALG,Algeria,Algeria,4,30,30,ALG 🇦🇱🇬,1,0,0,1,46
