Country,Gold,Silver,Bronze,Total
JPN,7,2,4,13
CHN,6,6,2,14
AUS,6,4,1,11
FRA,5,9,4,18
KOR,5,3,3,11
USA,4,11,11,26
GBR,4,5,3,12
ITA,3,4,4,11
CAN,2,2,2,6
HKG,2,0,1,3
GER,2,0,0,2
KAZ,1,0,2,3
RSA,1,0,2,3
BEL,1,0,1,2
IRL,1,0,1,2
AZE,1,0,0,1
NZL,1,0,0,1
ROU,1,0,0,1
SLO,1,0,0,1
SRB,1,0,0,1
UZB,1,0,0,1
