total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
78,2,N,2,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA 🇺🇸,20,30,28,78,1
53,1,N,1,2,N,2,CHN,CHN,China,People's Republic of China,41,430,1600,CHN 🇨🇳,21,18,14,53,2
46,4,N,4,3,N,3,FRA,FRA,France,France,70,730,740,FRA 🇫🇷,12,16,18,46,3
42,5,N,5,4,N,4,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR 🇬🇧,12,13,17,42,4
32,3,N,3,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS 🇦🇺,13,11,8,32,5
26,8,N,8,6,Y,8,ITA,ITA,Italy,Italy,95,1020,1020,ITA 🇮🇹,9,10,7,26,8
26,6,N,6,6,Y,6,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR 🇰🇷,11,8,7,26,6
26,7,N,7,6,Y,7,JPN,JPN,Japan,Japan,97,1040,1040,JPN 🇯🇵,10,5,11,26,7
17,11,N,11,9,Y,10,CAN,CAN,Canada,Canada,37,380,380,CAN 🇨🇦,5,4,8,17,10
17,9,N,9,9,Y,9,NED,NED,Netherlands,Netherlands,150,1450,1430,NED 🇳🇱,7,6,4,17,9
16,10,N,10,11,N,11,GER,GER,Germany,Germany,5,790,790,GER 🇩🇪,7,5,4,16,11
11,17,N,17,12,N,12,BRA,BRA,Brazil,Brazil,29,300,300,BRA 🇧🇷,2,4,5,11,12
9,26,N,26,13,Y,14,ESP,ESP,Spain,Spain,63,1930,1950,ESP 🇪🇸,1,3,5,9,14
9,12,N,12,13,Y,13,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL 🇳🇿,3,5,1,9,13
8,13,Y,14,15,Y,16,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE 🇸🇪,3,3,2,8,16
8,13,Y,13,15,Y,15,HUN,HUN,Hungary,Hungary,87,920,920,HUN 🇭🇺,3,3,2,8,15
7,15,N,15,17,Y,17,ROU,ROU,Romania,Romania,158,1710,1730,ROU 🇷🇴,3,3,1,7,17
7,18,N,18,17,Y,18,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR 🇺🇦,2,2,3,7,18
6,50,N,50,19,Y,22,GRE,GRE,Greece,Greece,76,820,820,GRE 🇬🇷,0,1,5,6,22
6,25,N,25,19,Y,20,ISR,ISR,Israel,Israel,94,1010,1010,ISR 🇮🇱,1,4,1,6,20
6,16,N,16,19,Y,19,IRL,IRL,Ireland,Ireland,92,1000,990,IRL 🇮🇪,3,0,3,6,19
6,28,N,28,19,Y,21,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI 🇨🇭,1,1,4,6,21
5,19,N,19,23,Y,23,CRO,CRO,Croatia,Croatia,52,510,500,CRO 🇭🇷,2,1,2,5,23
5,20,N,20,23,Y,24,BEL,BEL,Belgium,Belgium,21,200,200,BEL 🇧🇪,2,0,3,5,24
4,29,Y,29,25,Y,27,KAZ,KAZ,Kazakhstan,Kazakhstan,99,1060,1060,KAZ 🇰🇦🇿,1,1,2,4,27
4,29,Y,30,25,Y,28,RSA,RSA,South Africa,South Africa,2,1910,1930,RSA 🇷🇸🇦,1,1,2,4,28
4,27,N,27,25,Y,26,GEO,GEO,Georgia,Georgia,73,770,770,GEO 🇬🇪,1,2,1,4,26
4,21,N,21,25,Y,25,HKG,HKG,"Hong Kong, China","Hong Kong, China",86,910,910,HKG 🇭🇰,2,0,2,4,25
4,32,N,32,25,Y,29,TPE,TPE,Chinese Taipei,Chinese Taipei,184,2080,2080,TPE 🇹🇵🇪,1,0,3,4,29
4,51,N,51,25,Y,30,POL,POL,Poland,Poland,153,1640,1630,POL 🇵🇱,0,1,3,4,30
3,46,Y,47,31,Y,33,MEX,MEX,Mexico,Mexico,125,1330,1320,MEX 🇲🇽,0,2,1,3,33
3,46,Y,48,31,Y,34,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK 🇵🇷🇰,0,2,1,3,34
3,60,Y,61,31,Y,36,TJK,TJK,Tajikistan,Tajikistan,183,2020,2030,TJK 🇹🇯🇰,0,0,3,3,36
3,46,Y,46,31,Y,32,JAM,JAM,Jamaica,Jamaica,96,1030,1030,JAM 🇯🇦🇲,0,2,1,3,32
3,33,N,33,31,Y,31,UZB,UZB,Uzbekistan,Uzbekistan,143,2220,2230,UZB 🇺🇿🇧,1,0,2,3,31
3,60,Y,60,31,Y,35,IND,IND,India,India,88,940,960,IND 🇮🇳🇩,0,0,3,3,35
2,62,Y,63,37,Y,48,LTU,LTU,Lithuania,Lithuania,112,1210,1200,LTU 🇱🇹🇺,0,0,2,2,48
2,34,Y,34,37,Y,41,CZE,CZE,Czechia,Czechia,187,540,530,CZE 🇨🇿,1,0,1,2,41
2,31,N,31,37,Y,40,DEN,DEN,Denmark,Denmark,54,560,580,DEN 🇩🇰,1,1,0,2,40
2,22,Y,23,37,Y,38,PHI,PHI,Philippines,Philippines,152,1630,1620,PHI 🇵🇭🇮,2,0,0,2,38
2,62,Y,62,37,Y,47,DOM,DOM,Dominican Republic,Dominican Republic,56,590,610,DOM 🇩🇴🇲,0,0,2,2,47
2,22,Y,22,37,Y,37,AZE,AZE,Azerbaijan,Azerbaijan,15,140,140,AZE 🇦🇿🇪,2,0,0,2,37
2,22,Y,24,37,Y,39,SRB,SRB,Serbia,Serbia,169,1820,1840,SRB 🇷🇸,2,0,0,2,39
2,62,Y,64,37,Y,49,MAS,MAS,Malaysia,Malaysia,116,1260,1250,MAS 🇲🇦🇸,0,0,2,2,49
2,62,Y,65,37,Y,50,MDA,MDA,Republic of Moldova,Republic of Moldova,127,1680,1700,MDA 🇲🇩🇦,0,0,2,2,50
