total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
2,52,Y,53,37,Y,46,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR 🇹🇷,0,1,1,2,46
2,52,Y,52,37,Y,45,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS 🇰🇴🇸,0,1,1,2,45
2,49,N,49,37,Y,44,ETH,ETH,Ethiopia,Ethiopia,67,700,690,ETH 🇪🇹🇭,0,2,0,2,44
2,34,Y,36,37,Y,43,KEN,KEN,Kenya,Kenya,100,1070,1070,KEN 🇰🇪🇳,1,0,1,2,43
2,34,Y,35,37,Y,42,GUA,GUA,Guatemala,Guatemala,79,850,850,GUA 🇬🇺🇦,1,0,1,2,42
1,54,Y,59,51,Y,65,TUN,TUN,Tunisia,Tunisia,193,2100,2100,TUN 🇹🇺🇳,0,1,0,1,65
1,37,Y,39,51,Y,53,CHI,CHI,Chile,Chile,40,420,420,CHI 🇨🇭🇮,1,0,0,1,53
1,54,Y,58,51,Y,64,THA,THA,Thailand,Thailand,188,2040,2040,THA 🇹🇭,0,1,0,1,64
1,37,Y,45,51,Y,59,UGA,UGA,Uganda,Uganda,142,2150,2140,UGA 🇺🇬🇦,1,0,0,1,59
1,66,Y,66,51,Y,66,AUT,AUT,Austria,Austria,14,130,130,AUT 🇦🇹,0,0,1,1,66
1,54,Y,55,51,Y,61,COL,COL,Colombia,Colombia,43,450,430,COL 🇨🇴,0,1,0,1,61
1,66,Y,73,51,Y,73,SVK,SVK,Slovakia,Slovakia,173,1870,1890,SVK 🇸🇻🇰,0,0,1,1,73
1,54,Y,54,51,Y,60,ARM,ARM,Armenia,Armenia,11,90,90,ARM 🇦🇷🇲,0,1,0,1,60
1,66,Y,67,51,Y,67,CPV,CPV,Cabo Verde,Cabo Verde,38,350,350,CPV 🇨🇵🇻,0,0,1,1,67
1,37,Y,40,51,Y,54,DMA,DMA,Dominica,Dominica,57,580,600,DMA 🇩🇲🇦,1,0,0,1,54
1,37,Y,44,51,Y,58,SLO,SLO,Slovenia,Slovenia,174,1880,1900,SLO 🇸🇱🇴,1,0,0,1,58
1,66,Y,68,51,Y,68,CUB,CUB,Cuba,Cuba,53,520,510,CUB 🇨🇺🇧,0,0,1,1,68
1,66,Y,72,51,Y,72,POR,POR,Portugal,Portugal,155,1650,1640,POR 🇵🇹,0,0,1,1,72
1,37,Y,38,51,Y,52,ARG,ARG,Argentina,Argentina,10,80,80,ARG 🇦🇷,1,0,0,1,52
1,37,Y,43,51,Y,57,NOR,NOR,Norway,Norway,139,1530,1510,NOR 🇳🇴,1,0,0,1,57
1,37,Y,41,51,Y,55,ECU,ECU,Ecuador,Ecuador,61,620,620,ECU 🇪🇨🇺,1,0,0,1,55
1,54,Y,57,51,Y,63,MGL,MGL,Mongolia,Mongolia,129,1370,1350,MGL 🇲🇬🇱,0,1,0,1,63
1,66,Y,69,51,Y,69,EGY,EGY,Egypt,Egypt,58,630,630,EGY 🇪🇬,0,0,1,1,69
1,37,Y,42,51,Y,56,LCA,LCA,Saint Lucia,Saint Lucia,161,1760,1780,LCA 🇱🇨🇦,1,0,0,1,56
1,54,Y,56,51,Y,62,FIJ,FIJ,Fiji,Fiji,68,710,720,FIJ 🇫🇮🇯,0,1,0,1,62
1,66,Y,70,51,Y,70,GRN,GRN,Grenada,Grenada,77,830,830,GRN 🇬🇷🇳,0,0,1,1,70
1,66,Y,71,51,Y,71,INA,INA,Indonesia,Indonesia,89,950,970,INA 🇮🇳🇦,0,0,1,1,71
1,37,Y,37,51,Y,51,ALG,ALG,Algeria,Algeria,4,30,30,ALG 🇦🇱🇬,1,0,0,1,51
