total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
31,5,N,5,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA,6,13,12,31,1
27,2,N,2,2,N,2,FRA,FRA,France,France,70,730,740,FRA,8,11,8,27,2
22,1,N,1,3,N,3,CHN,CHN,China,People's Republic of China,41,430,1600,CHN,11,7,4,22,3
20,6,N,6,4,N,4,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR,6,7,7,20,4
17,4,N,4,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS,7,6,4,17,5
15,3,N,3,6,Y,6,JPN,JPN,Japan,Japan,97,1040,1040,JPN,8,3,4,15,6
15,8,N,8,6,Y,7,ITA,ITA,Italy,Italy,95,1020,1020,ITA,5,6,4,15,7
12,7,N,7,8,N,8,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR,6,3,3,12,8
7,9,N,9,9,N,9,CAN,CAN,Canada,Canada,37,380,380,CAN,2,2,3,7,9
6,10,N,10,10,N,10,GER,GER,Germany,Germany,5,790,790,GER,2,2,2,6,10
5,11,Y,12,11,Y,12,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL,2,2,1,5,12
5,11,Y,11,11,Y,11,NED,NED,Netherlands,Netherlands,150,1450,1430,NED,2,2,1,5,11
5,29,N,29,11,Y,13,BRA,BRA,Brazil,Brazil,29,300,300,BRA,0,2,3,5,13
4,17,N,17,14,Y,16,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE,1,1,2,4,16
4,13,N,13,14,Y,14,ROU,ROU,Romania,Romania,158,1710,1730,ROU,2,1,1,4,14
4,14,N,14,14,Y,15,HKG,HKG,"Hong Kong, China","Hong Kong, China",86,910,910,HKG,2,0,2,4,15
4,32,N,32,14,Y,17,ESP,ESP,Spain,Spain,63,1930,1950,ESP,0,1,3,4,17
3,18,Y,21,18,Y,22,RSA,RSA,South Africa,South Africa,2,1910,1930,RSA,1,0,2,3,22
3,18,Y,19,18,Y,20,IRL,IRL,Ireland,Ireland,92,1000,990,IRL,1,0,2,3,20
3,18,Y,18,18,Y,19,BEL,BEL,Belgium,Belgium,21,200,200,BEL,1,0,2,3,19
3,18,Y,20,18,Y,21,KAZ,KAZ,Kazakhstan,Kazakhstan,99,1060,1060,KAZ,1,0,2,3,21
3,33,N,33,18,Y,24,POL,POL,Poland,Poland,153,1640,1630,POL,0,1,2,3,24
3,43,N,43,18,Y,25,IND,IND,India,India,88,940,960,IND,0,0,3,3,25
3,30,N,30,18,Y,23,HUN,HUN,Hungary,Hungary,87,920,920,HUN,0,2,1,3,23
3,16,N,16,18,Y,18,GEO,GEO,Georgia,Georgia,73,770,770,GEO,1,2,0,3,18
2,34,Y,38,26,Y,35,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR,0,1,1,2,35
2,31,N,31,26,Y,30,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK,0,2,0,2,30
2,34,Y,36,26,Y,33,MEX,MEX,Mexico,Mexico,125,1330,1320,MEX,0,1,1,2,33
2,34,Y,37,26,Y,34,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI,0,1,1,2,34
2,34,Y,39,26,Y,36,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR,0,1,1,2,36
2,22,Y,24,26,Y,29,UZB,UZB,Uzbekistan,Uzbekistan,143,2220,2230,UZB,1,0,1,2,29
2,34,Y,35,26,Y,32,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS,0,1,1,2,32
2,34,Y,34,26,Y,31,ISR,ISR,Israel,Israel,94,1010,1010,ISR,0,1,1,2,31
2,22,Y,23,26,Y,28,GUA,GUA,Guatemala,Guatemala,79,850,850,GUA,1,0,1,2,28
2,15,N,15,26,Y,26,AZE,AZE,Azerbaijan,Azerbaijan,15,140,140,AZE,2,0,0,2,26
2,22,Y,22,26,Y,27,CRO,CRO,Croatia,Croatia,52,510,500,CRO,1,0,1,2,27
2,44,N,44,26,Y,37,MDA,MDA,Republic of Moldova,Republic of Moldova,127,1680,1700,MDA,0,0,2,2,37
1,40,Y,41,38,Y,43,MGL,MGL,Mongolia,Mongolia,129,1370,1350,MGL,0,1,0,1,43
1,25,Y,26,38,Y,39,ECU,ECU,Ecuador,Ecuador,61,620,620,ECU,1,0,0,1,39
1,45,Y,45,38,Y,45,AUT,AUT,Austria,Austria,14,130,130,AUT,0,0,1,1,45
1,40,Y,42,38,Y,44,TUN,TUN,Tunisia,Tunisia,193,2100,2100,TUN,0,1,0,1,44
1,45,Y,50,38,Y,50,TJK,TJK,Tajikistan,Tajikistan,183,2020,2030,TJK,0,0,1,1,50
1,25,Y,28,38,Y,41,SRB,SRB,Serbia,Serbia,169,1820,1840,SRB,1,0,0,1,41
1,45,Y,49,38,Y,49,SVK,SVK,Slovakia,Slovakia,173,1870,1890,SVK,0,0,1,1,49
1,45,Y,46,38,Y,46,EGY,EGY,Egypt,Egypt,58,630,630,EGY,0,0,1,1,46
1,25,Y,27,38,Y,40,SLO,SLO,Slovenia,Slovenia,174,1880,1900,SLO,1,0,0,1,40
1,40,Y,40,38,Y,42,FIJ,FIJ,Fiji,Fiji,68,710,720,FIJ,0,1,0,1,42
1,45,Y,47,38,Y,47,GRE,GRE,Greece,Greece,76,820,820,GRE,0,0,1,1,47
1,45,Y,48,38,Y,48,POR,POR,Portugal,Portugal,155,1650,1640,POR,0,0,1,1,48
1,25,Y,25,38,Y,38,ARG,ARG,Argentina,Argentina,10,80,80,ARG,1,0,0,1,38
