total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
2,42,N,42,33,Y,36,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK 🇵🇷🇰,0,2,0,2,36
2,30,Y,31,33,Y,35,GUA,GUA,Guatemala,Guatemala,79,850,850,GUA 🇬🇺🇦,1,0,1,2,35
2,54,Y,54,33,Y,40,MDA,MDA,Republic of Moldova,Republic of Moldova,127,1680,1700,MDA 🇲🇩🇦,0,0,2,2,40
2,45,Y,46,33,Y,38,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS 🇰🇴🇸,0,1,1,2,38
1,48,Y,51,43,Y,55,MGL,MGL,Mongolia,Mongolia,129,1370,1350,MGL 🇲🇬🇱,0,1,0,1,55
1,48,Y,48,43,Y,52,DEN,DEN,Denmark,Denmark,54,560,580,DEN 🇩🇰,0,1,0,1,52
1,57,Y,57,43,Y,57,AUT,AUT,Austria,Austria,14,130,130,AUT 🇦🇹,0,0,1,1,57
1,32,Y,40,43,Y,51,UGA,UGA,Uganda,Uganda,142,2150,2140,UGA 🇺🇬🇦,1,0,0,1,51
1,57,Y,59,43,Y,59,GRN,GRN,Grenada,Grenada,77,830,830,GRN 🇬🇷🇳,0,0,1,1,59
1,48,Y,52,43,Y,56,TUN,TUN,Tunisia,Tunisia,193,2100,2100,TUN 🇹🇺🇳,0,1,0,1,56
1,32,Y,35,43,Y,46,LCA,LCA,Saint Lucia,Saint Lucia,161,1760,1780,LCA 🇱🇨🇦,1,0,0,1,46
1,57,Y,60,43,Y,60,LTU,LTU,Lithuania,Lithuania,112,1210,1200,LTU 🇱🇹🇺,0,0,1,1,60
1,57,Y,62,43,Y,62,SVK,SVK,Slovakia,Slovakia,173,1870,1890,SVK 🇸🇻🇰,0,0,1,1,62
1,32,Y,39,43,Y,50,SRB,SRB,Serbia,Serbia,169,1820,1840,SRB 🇷🇸,1,0,0,1,50
1,48,Y,50,43,Y,54,FIJ,FIJ,Fiji,Fiji,68,710,720,FIJ 🇫🇮🇯,0,1,0,1,54
1,32,Y,38,43,Y,49,SLO,SLO,Slovenia,Slovenia,174,1880,1900,SLO 🇸🇱🇴,1,0,0,1,49
1,32,Y,33,43,Y,44,DMA,DMA,Dominica,Dominica,57,580,600,DMA 🇩🇲🇦,1,0,0,1,44
1,32,Y,34,43,Y,45,ECU,ECU,Ecuador,Ecuador,61,620,620,ECU 🇪🇨🇺,1,0,0,1,45
1,57,Y,61,43,Y,61,POR,POR,Portugal,Portugal,155,1650,1640,POR 🇵🇹,0,0,1,1,61
1,57,Y,58,43,Y,58,EGY,EGY,Egypt,Egypt,58,630,630,EGY 🇪🇬,0,0,1,1,58
1,32,Y,37,43,Y,48,PHI,PHI,Philippines,Philippines,152,1630,1620,PHI 🇵🇭🇮,1,0,0,1,48
1,48,Y,49,43,Y,53,ETH,ETH,Ethiopia,Ethiopia,67,700,690,ETH 🇪🇹🇭,0,1,0,1,53
1,32,Y,36,43,Y,47,NOR,NOR,Norway,Norway,139,1530,1510,NOR 🇳🇴,1,0,0,1,47
1,32,Y,32,43,Y,43,ARG,ARG,Argentina,Argentina,10,80,80,ARG 🇦🇷,1,0,0,1,43
