total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
3,25,Y,25,24,Y,26,BEL,BEL,Belgium,Belgium,21,200,200,BEL,1,0,2,3,26
3,17,N,17,24,Y,24,CRO,CRO,Croatia,Croatia,52,510,500,CRO,2,0,1,3,24
2,28,N,28,32,Y,33,GUA,GUA,Guatemala,Guatemala,79,850,850,GUA,1,0,1,2,33
2,39,Y,39,32,Y,35,KOS,KOS,Kosovo,Kosovo,103,1110,1100,KOS,0,1,1,2,35
2,47,Y,47,32,Y,38,MDA,MDA,Republic of Moldova,Republic of Moldova,127,1680,1700,MDA,0,0,2,2,38
2,18,N,18,32,Y,32,AZE,AZE,Azerbaijan,Azerbaijan,15,140,140,AZE,2,0,0,2,32
2,39,Y,41,32,Y,37,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR,0,1,1,2,37
2,39,Y,40,32,Y,36,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR,0,1,1,2,36
2,47,Y,48,32,Y,39,TJK,TJK,Tajikistan,Tajikistan,183,2020,2030,TJK,0,0,2,2,39
2,36,N,36,32,Y,34,PRK,PRK,DPR Korea,Democratic People's Republic of Korea,157,600,550,PRK,0,2,0,2,34
1,29,Y,33,40,Y,44,UGA,UGA,Uganda,Uganda,142,2150,2140,UGA,1,0,0,1,44
1,42,Y,45,40,Y,48,TUN,TUN,Tunisia,Tunisia,193,2100,2100,TUN,0,1,0,1,48
1,49,Y,49,40,Y,49,AUT,AUT,Austria,Austria,14,130,130,AUT,0,0,1,1,49
1,49,Y,53,40,Y,53,SVK,SVK,Slovakia,Slovakia,173,1870,1890,SVK,0,0,1,1,53
1,49,Y,50,40,Y,50,CZE,CZE,Czechia,Czechia,187,540,530,CZE,0,0,1,1,50
1,29,Y,32,40,Y,43,SRB,SRB,Serbia,Serbia,169,1820,1840,SRB,1,0,0,1,43
1,29,Y,31,40,Y,42,SLO,SLO,Slovenia,Slovenia,174,1880,1900,SLO,1,0,0,1,42
1,49,Y,52,40,Y,52,POR,POR,Portugal,Portugal,155,1650,1640,POR,0,0,1,1,52
1,29,Y,30,40,Y,41,ECU,ECU,Ecuador,Ecuador,61,620,620,ECU,1,0,0,1,41
1,49,Y,51,40,Y,51,EGY,EGY,Egypt,Egypt,58,630,630,EGY,0,0,1,1,51
1,42,Y,42,40,Y,45,ETH,ETH,Ethiopia,Ethiopia,67,700,690,ETH,0,1,0,1,45
1,42,Y,44,40,Y,47,MGL,MGL,Mongolia,Mongolia,129,1370,1350,MGL,0,1,0,1,47
1,42,Y,43,40,Y,46,FIJ,FIJ,Fiji,Fiji,68,710,720,FIJ,0,1,0,1,46
1,29,Y,29,40,Y,40,ARG,ARG,Argentina,Argentina,10,80,80,ARG,1,0,0,1,40
