total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
126,1,N,1,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA 🇺🇸,40,44,42,126,1
91,2,N,2,2,N,2,CHN,CHN,China,People's Republic of China,41,430,1600,CHN 🇨🇳,40,27,24,91,2
65,7,N,7,3,N,3,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR 🇬🇧,14,22,29,65,3
64,5,N,5,4,N,4,FRA,FRA,France,France,70,730,740,FRA 🇫🇷,16,26,22,64,4
53,4,N,4,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS 🇦🇺,18,19,16,53,5
45,3,N,3,6,N,6,JPN,JPN,Japan,Japan,97,1040,1040,JPN 🇯🇵,20,12,13,45,6
40,9,N,9,7,N,7,ITA,ITA,Italy,Italy,95,1020,1020,ITA 🇮🇹,12,13,15,40,7
34,6,N,6,8,N,8,NED,NED,Netherlands,Netherlands,150,1450,1430,NED 🇳🇱,15,7,12,34,8
33,10,N,10,9,N,9,GER,GER,Germany,Germany,5,790,790,GER 🇩🇪,12,13,8,33,9
32,8,N,8,10,N,10,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR 🇰🇷,13,9,10,32,10
27,12,N,12,11,N,11,CAN,CAN,Canada,Canada,37,380,380,CAN 🇨🇦,9,7,11,27,11
20,20,N,20,12,Y,13,BRA,BRA,Brazil,Brazil,29,300,300,BRA 🇧🇷,3,7,10,20,13
20,11,N,11,12,Y,12,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL 🇳🇿,10,7,3,20,12
19,14,N,14,14,N,14,HUN,HUN,Hungary,Hungary,87,920,920,HUN 🇭🇺,6,7,6,19,14
18,15,N,15,15,N,15,ESP,ESP,Spain,Spain,63,1930,1950,ESP 🇪🇸,5,4,9,18,15
13,13,N,13,16,N,16,UZB,UZB,Uzbekistan,Uzbekistan,143,2220,2230,UZB 🇺🇿,8,2,3,13,16
12,22,N,22,17,Y,18,UKR,UKR,Ukraine,Ukraine,197,2160,2150,UKR 🇺🇦,3,5,4,12,18
12,21,N,21,17,Y,17,IRI,IRI,IR Iran,Islamic Republic of Iran,90,980,1000,IRI 🇮🇷🇮,3,6,3,12,17
11,17,N,17,19,Y,20,KEN,KEN,Kenya,Kenya,100,1070,1070,KEN 🇰🇪🇳,4,2,5,11,20
11,16,N,16,19,Y,19,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE 🇸🇪,4,4,3,11,19
10,42,N,42,21,Y,22,POL,POL,Poland,Poland,153,1640,1630,POL 🇵🇱,1,4,5,10,22
10,25,N,25,21,Y,21,BEL,BEL,Belgium,Belgium,21,200,200,BEL 🇧🇪,3,1,6,10,21
9,23,N,23,23,Y,23,ROU,ROU,Romania,Romania,158,1710,1730,ROU 🇷🇴,3,4,2,9,23
9,29,N,29,23,Y,24,DEN,DEN,Denmark,Denmark,54,560,580,DEN 🇩🇰,2,2,5,9,24
9,32,N,32,23,Y,25,CUB,CUB,Cuba,Cuba,53,520,510,CUB 🇨🇺🇧,2,1,6,9,25
8,51,N,51,26,Y,28,GRE,GRE,Greece,Greece,76,820,820,GRE 🇬🇷,1,1,6,8,28
8,18,N,18,26,Y,26,NOR,NOR,Norway,Norway,139,1530,1510,NOR 🇳🇴,4,1,3,8,26
8,64,N,64,26,Y,29,TUR,TUR,Türkiye,Türkiye,195,2110,2110,TUR 🇹🇷,0,3,5,8,29
8,48,N,48,26,Y,27,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI 🇨🇭,1,2,5,8,27
7,41,N,41,30,Y,36,ISR,ISR,Israel,Israel,94,1010,1010,ISR 🇮🇱,1,5,1,7,36
7,30,Y,30,30,Y,33,AZE,AZE,Azerbaijan,Azerbaijan,15,140,140,AZE 🇦🇿🇪,2,2,3,7,33
7,43,N,43,30,Y,37,KAZ,KAZ,Kazakhstan,Kazakhstan,99,1060,1060,KAZ 🇰🇦🇿,1,3,3,7,37
7,19,N,19,30,Y,30,IRL,IRL,Ireland,Ireland,92,1000,990,IRL 🇮🇪,4,0,3,7,30
