total,rank,rankEqual,sortRank,rankTotal,rankTotalEqual,sortRankTotal,org,organisation.code,organisation.description,organisation.longDescription,organisation.protocolOrder,organisation.descriptionOrder,organisation.longDescriptionOrder,Country,Gold,Silver,Bronze,Total,lexicographic_order
41,2,N,2,1,N,1,USA,USA,United States,United States of America,66,2190,2200,USA,9,17,15,41,1
31,3,N,3,2,N,2,FRA,FRA,France,France,70,730,740,FRA,9,11,11,31,2
27,1,N,1,3,N,3,CHN,CHN,China,People's Republic of China,41,430,1600,CHN,13,7,7,27,3
25,4,N,4,4,N,4,GBR,GBR,Great Britain,Great Britain,75,810,810,GBR,9,8,8,25,4
19,5,N,5,5,N,5,AUS,AUS,Australia,Australia,13,120,120,AUS,8,6,5,19,5
17,6,N,6,6,Y,6,JPN,JPN,Japan,Japan,97,1040,1040,JPN,8,3,6,17,6
17,8,N,8,6,Y,7,ITA,ITA,Italy,Italy,95,1020,1020,ITA,5,8,4,17,7
16,7,N,7,8,N,8,KOR,KOR,Korea,Republic of Korea,49,1100,1690,KOR,7,5,4,16,8
10,10,N,10,9,N,9,CAN,CAN,Canada,Canada,37,380,380,CAN,3,2,5,10,9
8,9,N,9,10,N,10,NED,NED,Netherlands,Netherlands,150,1450,1430,NED,4,2,2,8,10
7,18,N,18,11,Y,12,BRA,BRA,Brazil,Brazil,29,300,300,BRA,1,3,3,7,12
7,11,N,11,11,Y,11,GER,GER,Germany,Germany,5,790,790,GER,2,3,2,7,11
6,12,Y,13,13,Y,14,ROU,ROU,Romania,Romania,158,1710,1730,ROU,2,3,1,6,14
6,12,Y,12,13,Y,13,NZL,NZL,New Zealand,New Zealand,140,1470,1450,NZL,2,3,1,6,13
5,22,Y,22,15,Y,16,ESP,ESP,Spain,Spain,63,1930,1950,ESP,1,1,3,5,16
5,22,Y,23,15,Y,17,SUI,SUI,Switzerland,Switzerland,180,2000,2010,SUI,1,1,3,5,17
5,19,N,19,15,Y,15,SWE,SWE,Sweden,Sweden,179,1990,2000,SWE,1,2,2,5,15
4,36,Y,37,18,Y,23,POL,POL,Poland,Poland,153,1640,1630,POL,0,1,3,4,23
4,24,N,24,18,Y,21,RSA,RSA,South Africa,South Africa,2,1910,1930,RSA,1,1,2,4,21
4,36,Y,36,18,Y,22,GRE,GRE,Greece,Greece,76,820,820,GRE,0,1,3,4,22
4,14,Y,14,18,Y,18,HKG,HKG,"Hong Kong, China","Hong Kong, China",86,910,910,HKG,2,0,2,4,18
4,20,N,20,18,Y,20,HUN,HUN,Hungary,Hungary,87,920,920,HUN,1,2,1,4,20
4,14,Y,15,18,Y,19,IRL,IRL,Ireland,Ireland,92,1000,990,IRL,2,0,2,4,19
