Country,Gold,Silver,Bronze,Total
JPN,7,2,4,13
CHN,7,6,2,15
AUS,6,4,1,11
FRA,6,9,5,20
KOR,5,3,3,11
USA,4,11,11,26
GBR,4,5,3,12
ITA,3,5,4,12
CAN,2,2,2,6
HKG,2,0,1,3
GER,2,0,1,3
KAZ,1,0,2,3
RSA,1,0,2,3
BEL,1,0,1,2
IRL,1,0,1,2

